0.001032005	4.466788952
0.001457177	6.309149319
0.00205745	8.912340943
0.002903967	12.58756807
0.004098618	17.78249778
0.005781799	25.11817545
0.008152099	35.4808853
0.011481233	50.09938869
0.0161564	70.75394496
0.022705065	99.93077541
0.031837486	141.0937998
0.044575344	199.4218969
0.062184065	281.7834916
0.086343505	397.987706
0.118952007	560.550408
0.163218479	791.3608792
0.222947702	1120.355444
0.302012585	1584.749945
0.405598569	2238.424738
0.541043862	3161.261536
0.718161597	4466.515414
0.949766155	6309.368118
1.2550514	8919.90278
1.65857231	12603.76135
2.19524932	17796.59003
2.91484842	25126.50645
3.88686934	35489.31802
5.20528291	50127.17211
7.00069792	70794.60467
9.45828255	100007.2906
12.8315273	141256.7857
17.4800172	199529.8841
23.9055417	281839.1723
